index;state;date;country;recovered
0;Anguilla;2020-01-22;United Kingdom;0.0
1;no;2020-01-22;Latvia;0.0
2;no;2020-01-22;Lebanon;0.0
3;no;2020-01-22;Lesotho;0.0
4;no;2020-01-22;Liberia;0.0
5;no;2020-01-22;Libya;0.0
6;no;2020-01-22;Liechtenstein;0.0
7;no;2020-01-22;Lithuania;0.0
8;no;2020-01-22;Luxembourg;0.0
9;no;2020-01-22;MS Zaandam;0.0
10;no;2020-01-22;Madagascar;0.0
11;no;2020-01-22;Malawi;0.0
12;no;2020-01-22;Malaysia;0.0
13;no;2020-01-22;Maldives;0.0
14;no;2020-01-22;Mali;0.0
15;no;2020-01-22;Malta;0.0
16;no;2020-01-22;Mauritania;0.0
17;no;2020-01-22;Mauritius;0.0
18;no;2020-01-22;Mexico;0.0
19;no;2020-01-22;Moldova;0.0
20;no;2020-01-22;Monaco;0.0
21;no;2020-01-22;Mongolia;0.0
22;no;2020-01-22;Montenegro;0.0
23;no;2020-01-22;Morocco;0.0
24;no;2020-01-22;Mozambique;0.0
25;no;2020-01-22;Namibia;0.0
26;no;2020-01-22;Nepal;0.0
27;no;2020-01-22;Netherlands;0.0
28;no;2020-01-22;Laos;0.0
29;no;2020-01-22;Kyrgyzstan;0.0
30;no;2020-01-22;Kuwait;0.0
31;no;2020-01-22;Kosovo;0.0
32;no;2020-01-22;Gambia;0.0
33;no;2020-01-22;Georgia;0.0
34;no;2020-01-22;Germany;0.0
35;no;2020-01-22;Ghana;0.0
36;no;2020-01-22;Greece;0.0
37;no;2020-01-22;Grenada;0.0
38;no;2020-01-22;Guatemala;0.0
39;no;2020-01-22;Guinea;0.0
40;no;2020-01-22;Guinea-Bissau;0.0
41;no;2020-01-22;Guyana;0.0
42;no;2020-01-22;Haiti;0.0
43;no;2020-01-22;Holy See;0.0
44;no;2020-01-22;Honduras;0.0
45;no;2020-01-22;New Zealand;0.0
46;no;2020-01-22;Hungary;0.0
47;no;2020-01-22;India;0.0
48;no;2020-01-22;Indonesia;0.0
49;no;2020-01-22;Iran;0.0
50;no;2020-01-22;Iraq;0.0
51;no;2020-01-22;Ireland;0.0
52;no;2020-01-22;Israel;0.0
53;no;2020-01-22;Italy;0.0
54;no;2020-01-22;Jamaica;0.0
55;no;2020-01-22;Japan;0.0
56;no;2020-01-22;Jordan;0.0
57;no;2020-01-22;Kazakhstan;0.0
58;no;2020-01-22;Kenya;0.0
59;no;2020-01-22;Korea, South;0.0
60;no;2020-01-22;Iceland;0.0
61;no;2020-01-22;Niger;0.0
62;no;2020-01-22;Nigeria;0.0
63;no;2020-01-22;North Macedonia;0.0
64;no;2020-01-22;Sudan;0.0
65;no;2020-01-22;Suriname;0.0
66;no;2020-01-22;Sweden;0.0
67;no;2020-01-22;Switzerland;0.0
68;no;2020-01-22;Syria;0.0
69;no;2020-01-22;Taiwan*;0.0
70;no;2020-01-22;Tajikistan;0.0
71;no;2020-01-22;Tanzania;0.0
72;no;2020-01-22;Thailand;0.0
73;no;2020-01-22;Timor-Leste;0.0
74;no;2020-01-22;Togo;0.0
75;no;2020-01-22;Trinidad and Tobago;0.0
76;no;2020-01-22;Tunisia;0.0
77;no;2020-01-22;Sri Lanka;0.0
78;no;2020-01-22;Turkey;0.0
79;no;2020-01-22;Uganda;0.0
80;no;2020-01-22;Ukraine;0.0
81;no;2020-01-22;United Arab Emirates;0.0
82;no;2020-01-22;United Kingdom;0.0
83;no;2020-01-22;Uruguay;0.0
84;no;2020-01-22;Uzbekistan;0.0
85;no;2020-01-22;Venezuela;0.0
86;no;2020-01-22;Vietnam;0.0
87;no;2020-01-22;West Bank and Gaza;0.0
88;no;2020-01-22;Western Sahara;0.0
89;no;2020-01-22;Yemen;0.0
90;no;2020-01-22;Zambia;0.0
91;no;2020-01-22;Zimbabwe;0.0
92;no;2020-01-22;US;0.0
93;no;2020-01-22;Gabon;0.0
94;no;2020-01-22;Spain;0.0
95;no;2020-01-22;South Africa;0.0
96;no;2020-01-22;Norway;0.0
97;no;2020-01-22;Oman;0.0
98;no;2020-01-22;Pakistan;0.0
99;no;2020-01-22;Panama;0.0
100;no;2020-01-22;Papua New Guinea;0.0
101;no;2020-01-22;Paraguay;0.0
102;no;2020-01-22;Peru;0.0
103;no;2020-01-22;Philippines;0.0
104;no;2020-01-22;Poland;0.0
105;no;2020-01-22;Portugal;0.0
106;no;2020-01-22;Qatar;0.0
107;no;2020-01-22;Romania;0.0
108;no;2020-01-22;Russia;0.0
109;no;2020-01-22;South Sudan;0.0
110;no;2020-01-22;Rwanda;0.0
111;no;2020-01-22;Saint Lucia;0.0
112;no;2020-01-22;Saint Vincent and the Grenadines;0.0
113;no;2020-01-22;San Marino;0.0
114;no;2020-01-22;Sao Tome and Principe;0.0
115;no;2020-01-22;Saudi Arabia;0.0
116;no;2020-01-22;Senegal;0.0
117;no;2020-01-22;Serbia;0.0
118;no;2020-01-22;Seychelles;0.0
119;no;2020-01-22;Sierra Leone;0.0
120;no;2020-01-22;Singapore;0.0
