date;India;US;Spain;Germany;United Kingdom;Korea, South;Japan
2020-01-22;0;1;0;0;0;1;2
2020-01-23;0;1;0;0;0;1;2
2020-01-24;0;2;0;0;0;2;2
2020-01-25;0;2;0;0;0;2;2
2020-01-26;0;5;0;0;0;3;4
2020-01-27;0;5;0;1;0;4;4
2020-01-28;0;5;0;4;0;4;7
2020-01-29;0;5;0;4;0;4;7
2020-01-30;1;5;0;4;0;4;11
2020-01-31;1;7;0;5;2;11;15
2020-02-01;1;8;1;8;2;12;20
2020-02-02;2;8;1;10;2;15;20
2020-02-03;3;11;1;12;8;15;20
2020-02-04;3;11;1;12;8;16;22
2020-02-05;3;11;1;12;9;19;23
2020-02-06;3;11;1;12;9;23;23
2020-02-07;3;11;1;13;9;24;23
2020-02-08;3;11;1;13;13;24;24
2020-02-09;3;11;2;14;14;25;24
2020-02-10;3;11;2;14;14;27;26
2020-02-11;3;12;2;16;15;28;27
2020-02-12;3;12;2;16;16;28;28
2020-02-13;3;13;2;16;17;28;33
2020-02-14;3;13;2;16;18;28;43
2020-02-15;3;13;2;16;18;28;54
2020-02-16;3;13;2;16;18;29;60
2020-02-17;3;13;2;16;19;30;67
2020-02-18;3;13;2;16;19;31;79
2020-02-19;3;13;2;16;20;31;85
2020-02-20;3;13;2;16;22;104;95
2020-02-21;3;15;2;16;23;204;112
2020-02-22;3;15;2;16;23;433;137
2020-02-23;3;15;2;16;28;602;149
2020-02-24;3;15;2;16;30;833;160
2020-02-25;3;15;6;17;34;977;173
2020-02-26;3;15;13;27;37;1261;192
2020-02-27;3;16;15;46;44;1766;218
2020-02-28;3;16;32;48;56;2337;236
2020-02-29;3;24;45;79;61;3150;245
2020-03-01;3;30;84;130;94;3736;259
2020-03-02;5;52;120;159;134;4335;278
2020-03-03;5;72;165;196;189;5186;298
2020-03-04;28;103;222;262;246;5621;333
2020-03-05;30;172;259;482;295;6088;365
2020-03-06;31;215;400;670;374;6593;420
2020-03-07;34;337;500;799;429;7041;466
2020-03-08;39;450;673;1040;483;7314;499
2020-03-09;43;515;1073;1176;630;7478;527
2020-03-10;56;713;1695;1457;889;7513;585
2020-03-11;62;1105;2277;1908;1301;7755;640
2020-03-12;73;1530;2277;2078;1790;7869;696
2020-03-13;82;2115;5232;3675;2270;7979;733
2020-03-14;102;2814;6391;4585;2634;8086;795
2020-03-15;113;2986;7798;5795;3077;8162;826
2020-03-16;119;4354;9942;7272;3692;8236;843
2020-03-17;142;5970;11748;9257;4462;8320;893
2020-03-18;156;8386;13910;12327;5467;8413;928
2020-03-19;194;12674;17963;15320;6533;8565;968
2020-03-20;244;18736;20410;19848;7791;8652;1022
2020-03-21;330;24508;25374;22213;9006;8799;1059
2020-03-22;396;33152;28768;24873;10395;8961;1104
2020-03-23;499;43850;35136;29056;12744;8961;1144
2020-03-24;536;54112;39885;32986;15126;9037;1217
2020-03-25;657;66055;49515;37323;17843;9137;1314
2020-03-26;727;83611;57786;43938;20970;9241;1416
2020-03-27;887;102101;65719;50871;24219;9332;1530
2020-03-28;987;122059;73235;57695;27062;9478;1728
2020-03-29;1024;141205;80110;62095;29954;9583;1907
2020-03-30;1251;162707;87956;66885;34281;9661;2001
2020-03-31;1397;188744;95923;71808;38815;9786;2255
2020-04-01;1998;214205;104118;77872;43789;9887;2535
2020-04-02;2543;244610;112065;84794;48718;9976;2818
2020-04-03;2567;276547;119199;91159;53699;10062;3154
2020-04-04;3082;309699;126168;96092;57772;10156;3525
2020-04-05;3588;337573;131646;100123;61422;10237;3876
2020-04-06;4778;367215;136675;103374;66738;10284;4110
2020-04-07;5311;397992;141942;107663;72224;10331;4485
2020-04-08;5916;429686;148220;113296;77387;10384;5020
2020-04-09;6725;464442;153222;118181;82293;10423;5614
2020-04-10;7598;497943;158273;122171;86660;10450;6250
2020-04-11;8446;527969;163027;124908;90273;10480;6951
2020-04-12;9205;556522;166831;127854;93812;10512;7473
2020-04-13;10453;581813;170099;130072;98017;10537;7773
2020-04-14;11487;608878;172541;131359;102365;10564;8277
2020-04-15;12322;637974;177644;134753;107465;10591;8835
2020-04-16;13430;669272;184948;137698;112808;10613;9398
2020-04-17;14352;701996;190839;141397;117798;10635;9958
2020-04-18;15722;730266;191726;143342;122534;10653;10548
2020-04-19;17615;756544;198674;145184;126394;10661;10914
2020-04-20;18539;783931;200210;147065;131260;10674;11258
2020-04-21;20080;809295;204178;148291;136035;10683;11641
2020-04-22;21370;837627;208389;150648;141540;10694;12037
2020-04-23;23077;871617;213024;153129;146708;10708;12469
2020-04-24;24530;907908;202990;154999;151689;10718;12854
2020-04-25;26283;940829;205905;156513;155453;10728;13186
2020-04-26;27890;968518;207634;157770;158926;10738;13405
2020-04-27;29451;990983;209465;158758;163630;10752;13576
2020-04-28;31324;1015518;210773;159912;168357;10761;13860
2020-04-29;33062;1043038;212917;161539;173807;10765;14076
2020-04-30;34863;1072667;213435;163009;178771;10774;14284
2020-05-01;37257;1106829;215216;164077;183501;10780;14558
2020-05-02;39699;1136024;216582;164967;186731;10793;14861
2020-05-03;42505;1161611;217466;165664;189708;10801;15061
2020-05-04;46437;1184086;218011;166152;193091;10804;15229
2020-05-05;49400;1208271;219329;167007;196780;10806;15354
2020-05-06;52987;1233527;220325;168162;200616;10810;15455
2020-05-07;56351;1261409;221447;169430;204387;10822;15553
2020-05-08;59695;1288587;222857;170588;207439;10840;15640
2020-05-09;62808;1314320;223578;171324;209589;10874;15755
2020-05-10;67161;1334084;224350;171879;211911;10909;15824
2020-05-11;70768;1352962;227436;172576;215500;10936;15861
2020-05-12;74292;1375152;228030;173171;218895;10962;15948
2020-05-13;78055;1396110;228691;174098;222195;10991;15998
2020-05-14;81997;1423727;229540;174478;224813;11018;16096
2020-05-15;85784;1449027;230183;175233;227334;11037;16148
2020-05-16;90648;1474128;230698;175752;229406;11050;16202
2020-05-17;95698;1493132;230698;176369;231232;11065;16226
2020-05-18;100328;1514901;231606;176551;233809;11078;16259
2020-05-19;106475;1535350;232037;177778;236867;11110;16287
2020-05-20;112028;1559157;232555;178473;239579;11122;16321
2020-05-21;118226;1584512;233037;179021;242133;11142;16362
2020-05-22;124794;1608653;234824;179710;244174;11165;16385
2020-05-23;131423;1630476;235290;179986;245682;11190;16410
2020-05-24;138536;1651289;235772;180328;247037;11206;16451
2020-05-25;144950;1670280;235400;180600;248650;11225;16472
2020-05-26;150793;1689163;236259;181200;250309;11265;16502
2020-05-27;158086;1707445;236259;181524;252118;11344;16528
2020-05-28;165386;1730260;237906;182196;253854;11402;16598
2020-05-29;173491;1754764;238564;182922;255362;11441;16673
2020-05-30;181827;1779214;239228;183189;256469;11468;16716
2020-05-31;190609;1799124;239479;183410;257539;11503;16751
2020-06-01;198370;1816479;239638;183594;258983;11541;16787
2020-06-02;207191;1837374;239932;183879;260453;11590;16837
2020-06-03;216824;1857332;240326;184121;261802;11629;16867
2020-06-04;226713;1878683;240660;184472;263040;11668;16911
2020-06-05;236184;1903907;240978;184924;264150;11719;16958
2020-06-06;246622;1926639;241310;185450;264944;11776;17000
2020-06-07;257486;1944370;241550;185750;265662;11814;17039
2020-06-08;265928;1961785;241717;186109;266756;11852;17060
2020-06-09;276146;1979912;241966;186506;267915;11902;17111
2020-06-10;286605;2000706;242280;186522;269101;11947;17146
2020-06-11;297535;2023656;242707;186691;270108;12003;17187
2020-06-12;308993;2048986;243209;187226;271162;12051;17250
2020-06-13;320922;2074542;243605;187267;272050;12085;17293
2020-06-14;332424;2094366;243928;187518;272857;12121;17369
2020-06-15;343091;2114026;244109;187682;273888;12155;17439
2020-06-16;354065;2137731;244328;188252;274971;12198;17484
2020-06-17;366946;2163290;244683;188604;275970;12257;17530
2020-06-18;380532;2191099;245268;189817;276990;12306;17588
2020-06-19;395048;2222579;245575;190299;277974;12373;17658
2020-06-20;410451;2255328;245938;190670;278640;12421;17725
2020-06-21;425282;2281767;246272;191272;279264;12438;17780
